,Player,Pos,G,PassYds,PassTDs,Int,RushYds,RushTDs,Rec,RecYds,RecTDs
221,Tyler Conklin,TE,0.0,0.0,0.0,0.0,0.0,0.0,51.0,449.0,4.0
222,Tyler Lockett,WR,0.0,0.0,0.0,0.0,0.0,0.0,49.0,600.0,2.0
223,Tyreek Hill,WR,0.0,0.0,0.0,0.0,0.0,0.0,81.0,959.0,6.0
224,Tyrone Tracy Jr.,RB,0.0,0.0,0.0,0.0,839.0,5.0,38.0,284.0,1.0
225,Wan'Dale Robinson,WR,0.0,0.0,0.0,0.0,0.0,0.0,93.0,699.0,3.0
226,Will Dissly,TE,0.0,0.0,0.0,0.0,0.0,0.0,50.0,481.0,2.0
227,Will Levis,QB,12.0,2091.0,13.0,12.0,183.0,0.0,0.0,0.0,0.0
228,Xavier Legette,WR,0.0,0.0,0.0,0.0,0.0,0.0,49.0,497.0,4.0
229,Xavier Worthy,WR,0.0,0.0,0.0,0.0,0.0,0.0,59.0,638.0,6.0
230,Zach Charbonnet,RB,0.0,0.0,0.0,0.0,569.0,8.0,42.0,340.0,1.0
231,Zach Ertz,TE,0.0,0.0,0.0,0.0,0.0,0.0,66.0,654.0,7.0
232,Zack Moss,RB,0.0,0.0,0.0,0.0,242.0,2.0,0.0,0.0,0.0
233,Zamir White,RB,0.0,0.0,0.0,0.0,183.0,1.0,0.0,0.0,0.0
234,Zay Flowers,WR,0.0,0.0,0.0,0.0,0.0,0.0,74.0,1059.0,4.0
